sumact,max,stdev,fivecount,log,state
3087,341,87.24448407,0,5.615120517,wake
3005,341,87.38758766,0,5.33073334,wake
2654,341,88.54517276,0,6.236441963,wake
2788,341,88.60468654,0,5.290459441,wake
2697,341,90.25717225,0,5.709530201,wake
2609,341,91.83730438,0,5.158883083,wake
2501,341,91.94939084,0,5.8978398,wake
2633,341,94.13366889,0,5.543294782,wake
2460,341,83.79456171,0,5.290459441,wake
2245,271,65.68401995,0,5.007333185,wake
2212,216,53.08703545,0,1,wake
2092,216,56.18138143,0,5.33073334,wake
2066,216,56.49555398,0,3.079441542,wake
1866,216,61.76510804,0,5.934473933,wake
1842,216,58.7104274,0,5.33073334,wake
1964,216,57.94274678,0,4.17805383,wake
1817,216,58.64692579,0,5.934473933,wake
1745,183,52.12092167,0,6.375278408,wake
1889,216,61.73206314,0,5.744932128,wake
1936,216,62.58483766,0,5.682131227,wake
1976,216,62.87917363,0,6.209486153,wake
2236,247,72.51732141,0,5.744932128,wake
2664,320,77.74463693,0,2.945910149,wake
2712,320,76.87540941,0,2.945910149,wake
2618,320,81.21042626,0,5.615120517,wake
2790,353,95.56374088,0,5.96284463,wake
2854,353,94.77758425,0,5.369447852,wake
2999,353,90.94702802,0,5.234106505,wake
2849,353,92.39011491,0,6.176149733,wake
2923,353,94.36769524,0,5.8978398,wake
2907,353,93.63309854,0,6.236441963,wake
2855,353,90.96893766,0,6.509388337,wake
2747,353,84.06581888,0,6.768320996,wake
2987,353,93.51198039,0,5.820281566,wake
3143,353,85.6809975,0,3.079441542,wake
2974,320,72.43857825,0,6.866468057,wake
3197,353,86.67693163,0,5.33073334,wake
2995,353,92.31493714,0,6.068904202,wake
3161,353,90.80177259,0,5.574710979,wake
3008,353,88.83687566,0,6.509388337,wake
3172,353,94.03641645,0,6.030437921,wake
3224,353,93.58184602,0,5.744932128,wake
3076,353,95.09396356,0,5.997212274,wake
3019,353,93.1170794,0,6.068904202,wake
3041,353,83.85679403,0,4.850147602,wake
3036,353,89.56984505,0,6.209486153,wake
3419,353,83.35743461,0,4.850147602,wake
3213,255,69.43558166,0,4.17805383,wake
3194,255,74.22594207,0,6.209486153,wake
3472,320,80.06143474,0,5.189654742,wake
3441,320,81.65432365,0,6.509388337,wake
3556,320,84.34947145,0,5.997212274,wake
