act,slpstate,time
0,0,19:31:30
0,0,19:32:00
0,0,19:32:30
0,0,19:33:00
0,0,19:33:30
0,0,19:34:00
0,0,19:34:30
0,0,19:35:00
0,0,19:35:30
1,0,19:36:00
0,0,19:36:30
0,0,19:37:00
0,0,19:37:30
0,0,19:38:00
0,0,19:38:30
0,0,19:39:00
0,0,19:39:30
0,0,19:40:00
0,0,19:40:30
0,0,19:41:00
0,0,19:41:30
0,0,19:42:00
0,0,19:42:30
0,0,19:43:00
0,0,19:43:30
0,0,19:44:00
0,0,19:44:30
0,0,19:45:00
0,0,19:45:30
0,0,19:46:00
0,0,19:46:30
0,0,19:47:00
0,0,19:47:30
0,0,19:48:00
0,0,19:48:30
0,0,19:49:00
0,0,19:49:30
0,0,19:50:00
0,0,19:50:30
0,0,19:51:00
0,0,19:51:30
0,0,19:52:00
0,0,19:52:30
0,0,19:53:00
0,0,19:53:30
0,0,19:54:00
0,0,19:54:30
0,0,19:55:00
0,0,19:55:30
0,0,19:56:00
0,0,19:56:30
0,0,19:57:00
0,0,19:57:30
0,0,19:58:00
0,0,19:58:30
0,0,19:59:00
0,0,19:59:30
0,0,20:00:00
0,0,20:00:30
0,0,20:01:00
0,0,20:01:30
1,1,20:02:00
0,1,20:02:30
0,1,20:03:00
0,1,20:03:30
9,1,20:04:00
131,0,20:04:30
113,1,20:05:00
0,0,20:05:30
0,0,20:06:00
0,0,20:06:30
127,1,20:07:00
0,0,20:07:30
0,0,20:08:00
0,0,20:08:30
44,0,20:09:00
0,0,20:09:30
10,0,20:10:00
0,0,20:10:30
0,0,20:11:00
0,0,20:11:30
0,0,20:12:00
0,0,20:12:30
0,0,20:13:00
0,0,20:13:30
0,0,20:14:00
1,0,20:14:30
0,0,20:15:00
0,0,20:15:30
0,0,20:16:00
0,0,20:16:30
0,0,20:17:00
0,0,20:17:30
0,0,20:18:00
0,0,20:18:30
0,0,20:19:00
0,0,20:19:30
0,0,20:20:00
0,0,20:20:30
0,0,20:21:00
0,0,20:21:30
0,0,20:22:00
0,0,20:22:30
0,0,20:23:00
0,0,20:23:30
0,0,20:24:00
0,0,20:24:30
0,0,20:25:00
0,0,20:25:30
0,0,20:26:00
0,0,20:26:30
0,0,20:27:00
0,0,20:27:30
0,0,20:28:00
0,0,20:28:30
0,0,20:29:00
0,0,20:29:30
0,0,20:30:00
0,0,20:30:30
0,0,20:31:00
0,0,20:31:30
0,0,20:32:00
0,0,20:32:30
0,0,20:33:00
0,0,20:33:30
0,0,20:34:00
0,0,20:34:30
0,0,20:35:00
0,0,20:35:30
0,0,20:36:00
0,0,20:36:30
0,0,20:37:00
0,0,20:37:30
0,0,20:38:00
0,0,20:38:30
0,0,20:39:00
0,0,20:39:30
0,0,20:40:00
0,0,20:40:30
0,0,20:41:00
0,0,20:41:30
0,0,20:42:00
0,0,20:42:30
0,0,20:43:00
0,0,20:43:30
0,0,20:44:00
0,0,20:44:30
0,0,20:45:00
0,0,20:45:30
0,1,20:46:00
0,1,20:46:30
0,1,20:47:00
0,1,20:47:30
0,1,20:48:00
40,1,20:48:30
234,1,20:49:00
162,1,20:49:30
0,1,20:50:00
102,1,20:50:30
24,1,20:51:00
0,1,20:51:30
0,1,20:52:00
0,1,20:52:30
358,1,20:53:00
92,1,20:53:30
358,1,20:54:00
162,1,20:54:30
219,1,20:55:00
127,1,20:55:30
0,1,20:56:00
78,1,20:56:30
109,1,20:57:00
212,1,20:57:30
771,1,20:58:00
561,1,20:58:30
173,1,20:59:00
0,0,20:59:30
40,0,21:00:00
29,0,21:00:30
30,0,21:01:00
0,0,21:01:30
0,0,21:02:00
0,0,21:02:30
0,0,21:03:00
6,0,21:03:30
17,0,21:04:00
1,0,21:04:30
0,0,21:05:00
0,0,21:05:30
0,0,21:06:00
0,0,21:06:30
0,1,21:07:00
0,0,21:07:30
0,0,21:08:00
0,0,21:08:30
21,0,21:09:00
0,0,21:09:30
0,1,21:10:00
0,0,21:10:30
0,1,21:11:00
2,1,21:11:30
14,0,21:12:00
0,0,21:12:30
95,0,21:13:00
54,0,21:13:30
1,0,21:14:00
0,1,21:14:30
0,0,21:15:00
0,0,21:15:30
0,0,21:16:00
65,0,21:16:30
0,0,21:17:00
0,0,21:17:30
2,1,21:18:00
10,1,21:18:30
0,1,21:19:00
0,1,21:19:30
44,1,21:20:00
102,1,21:20:30
61,1,21:21:00
30,0,21:21:30
198,0,21:22:00
12,0,21:22:30
0,0,21:23:00
0,0,21:23:30
14,1,21:24:00
10,1,21:24:30
0,1,21:25:00
0,1,21:25:30
0,1,21:26:00
19,1,21:26:30
127,1,21:27:00
145,1,21:27:30
173,1,21:28:00
242,1,21:28:30
156,1,21:29:00
85,1,21:29:30
242,0,21:30:00
113,0,21:30:30
20,0,21:31:00
0,1,21:31:30
0,0,21:32:00
0,0,21:32:30
0,0,21:33:00
44,0,21:33:30
9,0,21:34:00
0,0,21:34:30
0,0,21:35:00
0,1,21:35:30
0,1,21:36:00
0,1,21:36:30
0,1,21:37:00
0,1,21:37:30
74,1,21:38:00
56,1,21:38:30
173,0,21:39:00
448,0,21:39:30
6,1,21:40:00
0,0,21:40:30
0,1,21:41:00
0,0,21:41:30
27,0,21:42:00
0,0,21:42:30
78,1,21:43:00
0,0,21:43:30
0,0,21:44:00
0,0,21:44:30
23,0,21:45:00
9,0,21:45:30
0,0,21:46:00
0,0,21:46:30
0,0,21:47:00
0,0,21:47:30
0,0,21:48:00
0,1,21:48:30
0,0,21:49:00
0,0,21:49:30
7,0,21:50:00
51,0,21:50:30
0,0,21:51:00
0,0,21:51:30
1,1,21:52:00
3,0,21:52:30
1,0,21:53:00
0,0,21:53:30
88,1,21:54:00
1,1,21:54:30
0,1,21:55:00
0,0,21:55:30
29,0,21:56:00
10,0,21:56:30
127,0,21:57:00
0,0,21:57:30
0,0,21:58:00
0,0,21:58:30
0,0,21:59:00
0,0,21:59:30
0,0,22:00:00
0,0,22:00:30
6,0,22:01:00
0,0,22:01:30
