sumact,max,stdev,fivecount,log,state
2221.66666667,486.666666667,121.472972586,0,4.12089541651,-1
2540.66666667,486.666666667,140.37305361,0,4.23212105162,-1
2486.0,486.666666667,141.61906203,0,5.03128642625,-1
2571.66666667,486.666666667,141.568376734,0,5.61841541273,-1
2639.66666667,486.666666667,141.116496585,0,5.13782967416,-1
2571.33333333,486.666666667,141.750380495,0,4.35573500759,-1
2559.0,486.666666667,142.096898529,0,4.295836866,-1
2592.66666667,486.666666667,146.157011319,0,6.01285505083,-1
2363.66666667,486.666666667,131.089296679,0,7.00058945489,-1
2691.0,486.666666667,143.798955777,0,5.99721227376,-1
2376.66666667,427.333333333,117.509934287,0,7.18757942603,-1
2897.33333333,486.666666667,147.256650661,0,7.05756434881,-1
3412.33333333,486.666666667,156.053716501,0,5.13782967416,-1
3733.66666667,486.666666667,167.092904171,0,6.13775730153,-1
3843.66666667,486.666666667,164.82728013,0,6.01506989117,-1
4150.66666667,486.666666667,161.312067338,0,4.37872452581,-1
4304.0,486.666666667,158.594741601,0,4.51650822817,-1
4629.33333333,569.333333333,177.073598425,0,6.51745289646,-1
4909.66666667,569.333333333,169.181706267,0,5.22926388012,-1
4828.66666667,569.333333333,172.082138625,0,5.48863636973,-1
4500.66666667,569.333333333,170.56658772,0,4.85014760171,-1
3942.0,569.333333333,166.267598424,0,7.1827733749,-1
3799.66666667,569.333333333,169.449685061,0,6.1532915945,-1
3264.66666667,569.333333333,145.823998794,0,7.11883114303,-1
3578.0,569.333333333,159.506401324,0,5.98816243825,-1
3383.33333333,569.333333333,157.632636685,0,6.65948221576,-1
3330.33333333,569.333333333,162.170859992,0,6.39514155118,-1
2984.33333333,484.333333333,133.157940195,0,7.34446608568,-1
3454.66666667,569.333333333,161.413809785,0,5.84418708646,-1
3366.0,569.333333333,159.85987912,0,5.49609909093,-1
3379.66666667,569.333333333,159.624337432,0,4.51650822817,-1
3416.33333333,569.333333333,158.794782876,0,4.28341434601,-1
3389.0,569.333333333,159.884725339,0,4.49650756147,-1
2914.0,569.333333333,143.6454796,0,6.15713775309,-1
3070.66666667,569.333333333,143.861056939,0,5.22439769047,-1
2912.33333333,569.333333333,134.523499648,0,5.75359019111,-1
2904.0,569.333333333,133.803557738,0,4.43398720449,-1
2657.0,569.333333333,130.906606718,0,4.47609868983,-1
2454.0,569.333333333,130.960069038,0,5.12174353641,-1
1848.66666667,343.666666667,81.3055898558,0,5.81218435537,-1
1875.0,343.666666667,80.3306559523,0,4.2708355638,-1
1727.0,343.666666667,81.9064603922,0,5.77631844219,-1
1864.33333333,343.666666667,80.3416547097,0,4.25809653802,-1
1809.33333333,343.666666667,79.1625345622,0,6.0106352941,-1
1783.33333333,343.666666667,73.3085492031,0,6.41313304098,-1
1574.33333333,224.333333333,50.007100025,0,6.83967219535,-1
1841.66666667,343.666666667,77.1932571006,0,4.97656152657,-1
1772.33333333,343.666666667,77.4563403221,0,4.72166927694,-1
1762.66666667,343.666666667,77.7488563009,0,4.84303013394,-1
1793.33333333,343.666666667,76.789149917,0,4.23212105162,-1
