sumact,max,stdev,fivecount,log,state
701,168,41.53730395,0,2.791759469,sleep
824,168,46.1908051,0,3.079441542,wake
937,168,50.5781338,0,4.135494216,sleep
1211,294,73.59913949,0,1,wake
1478,325,93.91723814,1,1,wake
1745,325,106.5640206,1,4.044522438,wake
1922,325,105.5602288,1,1,wake
1939,325,105.5165074,1,5.356708827,wake
2391,493,136.255013,2,4.891820298,wake
2346,493,136.2035766,2,5.204692619,wake
2508,493,134.681317,2,2.791759469,wake
2588,493,135.6959486,2,5.875197323,wake
2775,493,133.8552523,2,5.912654886,wake
2923,493,132.0566617,2,6.683579767,wake
3412,543,154.3365216,2,6.783825182,wake
3958,543,169.5079995,4,6.717027701,wake
4533,543,172.7273243,5,6.087596335,wake
5105,543,177.1479339,6,5.553876892,wake
4992,543,162.6591967,5,7.200509174,wake
5729,543,170.9323314,7,5.94875989,wake
6266,618,179.8753669,8,6.153291595,wake
6549,618,173.7447224,9,6.323009979,wake
7060,618,163.627204,10,6.288267031,wake
7220,618,160.5884862,11,6.749392986,wake
7333,618,150.19974,11,7.29710932,wake
7192,618,157.9489218,11,7.265301213,wake
7193,618,163.6647852,10,7.073044534,wake
6878,618,169.2059748,10,7.265301213,wake
7035,618,179.42798,11,6.65248918,wake
6762,618,184.5372591,10,7.137727054,wake
6250,543,174.100108,9,7.426488457,wake
6765,618,184.3310299,10,6.945420609,wake
6912,618,178.9439258,11,7.234410726,wake
7168,618,180.1897148,12,7.008813185,wake
7319,618,176.0055735,13,7.169610732,wake
7651,618,171.2744386,14,5.912654886,wake
7077,618,182.0225261,13,6.455321115,wake
6902,618,171.7350673,12,5.394449155,wake
6639,618,173.174561,11,5.356708827,wake
6476,618,160.0342077,10,1,wake
6359,618,169.7679649,10,5.912654886,wake
5982,618,167.7200899,9,7.040254711,wake
5706,510,149.4801468,9,7.104793232,wake
6012,598,167.3855259,9,6.880532986,wake
6078,638,176.2199113,9,7.040254711,wake
6157,638,177.5214407,10,6.717027701,wake
6459,638,173.6575859,10,5.204692619,wake
6718,638,182.2207191,11,6.288267031,wake
6908,638,180.591383,12,6.123963979,wake
7434,724,194.6337586,13,6.65248918,wake
7863,724,187.6900561,14,6.717027701,wake
8260,724,168.7653203,14,6.913503006,wake
8449,724,159.119871,15,6.913503006,wake
8043,724,155.9948717,14,7.393590754,wake
7925,724,152.1789986,14,7.458338283,wake
7957,724,172.6024058,13,6.913503006,wake
7678,724,168.4934646,12,7.29710932,wake
7726,724,168.9043826,13,7.265301213,wake
7953,724,164.9676159,13,6.976350909,wake
7710,638,141.175524,13,7.584791392,wake
7990,724,153.4687652,13,7.265301213,wake
8188,724,154.2724553,14,7.137727054,wake
8241,724,157.9280125,14,6.783825182,wake
8204,724,158.186704,14,6.488937726,wake
7972,724,163.5064146,12,6.913503006,wake
7749,724,155.2691212,12,5.804021045,wake
7092,724,155.8291189,11,6.749392986,wake
6920,724,157.7737681,9,6.814130532,wake
6755,724,148.0632748,9,6.087596335,wake
6488,724,145.1028863,9,6.65248918,wake
6251,724,148.8688461,8,6.521460918,wake
5642,526,107.5371254,6,7.040254711,wake
5642,463,97.12689295,7,6.38907173,wake
5293,420,90.14403818,6,6.521460918,wake
5022,420,96.60501318,5,6.583496309,wake
5055,420,96.27416209,5,5.844187086,wake
4741,420,97.86516477,4,6.153291595,wake
4629,420,102.894398,4,6.38907173,wake
4563,420,100.6802577,4,6.323009979,wake
4064,420,97.92069191,2,6.945420609,wake
4170,420,112.9307626,3,5.804021045,wake
3773,420,114.0751214,3,6.65248918,wake
3495,420,116.1294844,2,6.783825182,wake
3336,382,108.6744154,2,5.976733742,wake
3319,382,106.2739273,2,5.248495242,wake
3139,382,105.7443233,2,5.912654886,wake
3112,382,102.7217694,2,5.624972813,wake
3187,382,100.9984677,2,5.025351691,wake
2986,382,101.0072369,2,6.455321115,wake
3119,382,97.25513819,2,3.564949357,wake
3055,382,96.06332237,2,3.079441542,wake
2835,325,83.61578798,1,4.931825633,wake
3122,370,95.62757622,2,3.48490665,wake
3034,370,97.92937202,2,5.394449155,wake
2861,370,90.65809658,1,5.844187086,wake
2806,370,91.00245941,1,5.912654886,wake
2886,370,90.40938636,1,6.323009979,wake
3262,463,115.5336892,2,6.049856007,wake
3460,463,118.6275283,2,6.010635294,wake
3817,463,125.5348178,3,5.875197323,wake
3948,463,131.823746,4,5.912654886,wake
4085,463,126.3738972,4,6.323009979,wake
4197,463,114.3509011,3,6.913503006,wake
4544,463,115.5566857,4,6.583496309,wake
4925,463,107.7741245,5,6.288267031,wake
5116,463,98.42534033,5,5.59511985,wake
5362,493,113.966808,6,6.38907173,wake
5376,493,105.5798276,6,7.137727054,wake
5531,493,115.0710547,7,6.683579767,wake
5487,493,109.4806571,6,6.976350909,wake
5573,493,108.4451364,6,6.913503006,wake
5761,493,108.1070457,7,6.38907173,wake
5695,493,108.7389622,7,6.65248918,wake
5559,493,115.8046384,7,6.683579767,wake
5280,493,116.4072899,5,6.783825182,wake
5288,493,119.7520852,6,6.153291595,wake
4848,463,112.4598976,5,7.200509174,wake
5242,493,121.8369715,6,6.976350909,wake
5452,493,124.8629153,7,6.252273428,wake
5053,493,121.6147508,6,6.356586275,wake
4824,493,126.7474429,6,6.356586275,wake
4546,493,124.9014087,5,6.123963979,wake
4230,493,125.9716521,4,5.912654886,wake
4288,493,123.7463612,4,5.356708827,wake
4026,493,127.3684195,4,5.804021045,wake
3841,493,126.3336474,4,5.804021045,wake
3678,493,121.3805115,3,5.356708827,wake
3431,493,113.5259777,2,6.976350909,wake
3208,394,99.94443694,2,6.420534999,wake
3153,394,84.92837318,1,5.442651256,wake
3150,394,83.6361166,1,5.17438727,wake
3122,394,83.31886541,1,5.276666119,wake
2997,394,82.57974501,1,4.091042453,wake
2817,394,85.0724901,1,6.38907173,wake
2964,394,85.56184063,1,5.204692619,wake
3070,394,87.62398019,1,5.691347882,wake
3264,394,95.84965906,2,5.770684624,wake
3168,394,93.84097491,2,6.488937726,wake
3403,394,93.43311843,2,5.624972813,wake
2953,325,80.11209409,1,6.288267031,wake
2777,325,82.66976761,1,6.123963979,wake
2747,325,82.21290595,1,6.252273428,wake
2914,325,79.72822885,1,4.610917913,wake
